category,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
forsale,sale,offer,_price_,_do_,ship,sell,condit,_disk_,ask,_email_,cover,origin,manual,_book_,_softwar_,excel,_packag_,copi,_send_,_hard_,_box_,trade,appear,forsal,_phone_
electronics,wire,ground,circuit,current,electron,connect,outlet,amp,_box_,_phone_,voltag,detector,_design_,radio,_devic_,electr,_high_,signal,switch,_output_,cool,input,_protect_,neutral,audio
motorcycles,bike,dod,ride,motorcycl,dog,helmet,bmw,rider,_turn_,_front_,_road_,_bui_,_sun_,_insur_,drink,org,left,counterst,honda,lock,harlei,_engin_,mike,ama,_get_
autos,_engin_,_speed_,auto,_price_,dealer,oil,_bui_,_driver_,_road_,brake,model,tire,_chang_,ford,light,mile,wheel,_get_,request,saturn,_design_,_turn_,vehicl,owner,_front_
space,nasa,orbit,launch,satellit,moon,earth,mission,shuttl,lunar,cost,gov,project,develop,rocket,flight,fund,_research_,_engin_,_scienc_,_technolog_,henri,spacecraft,_high_,station,_center_
mideastpolitics,armenian,israel,isra,turkish,_jew_,arab,_kill_,armenia,turk,turkei,greek,attack,jewish,_war_,_muslim_,palestinian,villag,soldier,_human_,land,peac,_happen_,_countri_,soviet,genocid
pc,_scsi_,id,_disk_,bu,_do_,_hard_,_driver_,_monitor_,port,bio,board,floppi,isa,_speed_,jumper,_memori_,tape,motherboard,ibm,_mode_,rom,_instal_,pin,_machin_,interfac
cryptology,encrypt,secur,clipper,_public_,privaci,escrow,anonym,_phone_,_algorithm_,messag,de,_technolog_,nsa,crypto,secret,commun,_protect_,_devic_,enforc,agenc,internet,_access_,standard,_code_,propos
christianity,_jesu_,_church_,_christ_,faith,_bibl_,_truth_,sin,_word_,hell,_life_,rutger,_true_,_claim_,_love_,_belief_,scriptur,_religion_,cathol,_man_,_book_,_accept_,_human_,answer,absolut,discuss
atheism,atheist,_moral_,islam,atheism,_religion_,argument,_claim_,evid,_jesu_,_object_,keith,_human_,exampl,_bibl_,_belief_,_true_,_muslim_,natur,_word_,religi,_book_,_kill_,_accept_,_life_,wrong
religion,_jesu_,_moral_,_bibl_,_word_,_life_,_object_,_love_,_religion_,order,sandvik,_christ_,_man_,_true_,koresh,john,_church_,quot,children,_kill_,follow,kent,_truth_,_homosexu_,_jew_,mormon
mac,_mac_,appl,_monitor_,simm,_scsi_,quadra,_speed_,_machin_,_color_,_memori_,mhz,ram,_price_,_video_,_softwar_,_disk_,duo,centri,hardwar,sound,upgrad,cabl,nubu,modem,intern
baseball,_player_,basebal,_win_,hit,pitch,_season_,_fan_,_score_,_leagu_,cub,brave,won,_defens_,red,hitter,pitcher,philli,averag,home,rbi,gui,ball,bat,alomar,_second_
hockey,hockei,_player_,_season_,nhl,_win_,goal,playoff,_score_,period,_leagu_,leaf,cup,pt,wing,divis,_fan_,pittsburgh,shot,final,flyer,toronto,pick,detroit,ranger,_second_
graphics,imag,graphic,_color_,jpeg,format,_softwar_,_packag_,gif,_ftp_,_version_,_displai_,_code_,pub,convert,polygon,_sourc_,process,_user_,_mac_,_algorithm_,librari,_video_,_send_,_email_,_object_
medicine,food,msg,medic,diseas,patient,_health_,doctor,effect,studi,_research_,_scienc_,treatment,test,pain,type,cancer,pitt,result,infect,water,medicin,bank,diet,report,_center_
politics,presid,stephanopoulo,tax,job,_american_,drug,clinton,_nation_,_health_,monei,polit,gai,_homosexu_,care,_war_,cramer,_insur_,_countri_,senat,talk,men,issu,hous,white,_packag_
mswindows,_driver_,_do_,_win_,font,mous,_version_,_disk_,_access_,_manag_,microsoft,_chang_,printer,_memori_,_applic_,_ftp_,_machin_,print,_instal_,_softwar_,_mode_,ini,swap,screen,risc,directori
xwindows,widget,entri,server,motif,_applic_,_displai_,_output_,_sun_,_sourc_,mit,_version_,_manag_,_code_,_color_,client,xterm,_user_,build,info,function,open,lib,return,resourc,event
guns,weapon,firearm,fire,crime,arm,_kill_,handgun,fbi,bill,crimin,amend,militia,carri,batf,_american_,polic,_public_,right,_nation_,rate,death,_defens_,_happen_,new,waco
